empresa_id,plano_conta_nivel_03,codigo_plano_04,conta_contabil
401,5.01.005 - AQUISICAO MOVEIS,5.01.005.001 - AQUISICAO MOVEIS,5699
401,2.07.005 - ASSESSSORIA E CONSULTORIA,2.07.005.001 - ASSESSORIA JURIDICA,5726
401,2.07.005 - ASSESSSORIA E CONSULTORIA,2.07.005.015 - CONSULTORIA RS GESTAO EMPRESARIAL/ FDC,5726
401,2.07.005 - ASSESSSORIA E CONSULTORIA,2.07.005.017 - INSTITUTO MAZINI,5726
401,2.06.016 - RECRUTAMENTO E SELECAO,2.06.016.002 - EXAME DEMISSIONAL,5729
401,2.06.016 - RECRUTAMENTO E SELECAO,2.06.016.007 - SEGURANCA DO TRABALHO,5729
401,2.07.018 - CONFRATERNIZACOES,2.07.018.002 - COFFE BREAK,5731
401,2.07.018 - CONFRATERNIZACOES,2.07.018.001 - CONFRATERNIZACOES INTERNAS,5731
401,2.06.013 - ESTAGIARIOS (BOLSA+VT+TAXAS),2.06.013.002 - CIEE,5736
401,2.02.013 - PJ DESENVOLVIMENTO,2.02.013.002 - PJ DIOGO ROTHER,81647
401,2.02.013 - PJ DESENVOLVIMENTO,2.02.013.013 - PJ JOAO MARCELO,81647
401,2.02.013 - PJ DESENVOLVIMENTO,2.02.013.015 - PJ JOAO ZORZETTI (Z STUDIO),81647
401,2.02.013 - PJ DESENVOLVIMENTO,2.02.013.014 - PJ LEANDRO HENRIQUE GOMES,81647
401,2.02.013 - PJ DESENVOLVIMENTO,2.02.013.011 - PJ PAULO,81647
401,2.02.013 - PJ DESENVOLVIMENTO,2.02.013.012 - PJ WILBER SILVA,81647
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.001 - PJ BRUNO GUIMARAES,81648
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.003 - PJ HELIO (S.C),81648
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.005 - PJ HENRIQUE DIAS,81648
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.002 - PJ MARCO AURELIO (COND),81648
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.006 - PJ PAULO H. TRAJANO,81648
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.007 - PJ REUTER LINO,81648
401,2.02.012 - PJ SUCESSO DO CLIENTE,2.02.012.004 - PJ YAN MACIEL (S.C),81648
401,2.02.015 - PJ MARKETING,2.02.015.005 - PJ ALLAN FURTADO,81649
401,2.02.015 - PJ MARKETING,2.02.015.006 - PJ LEONARDO CARVALHO,81649
401,2.02.015 - PJ MARKETING,2.02.015.007 - PJ PATRICK ISAAC,81649
401,2.02.016 - PJ OPERACIONAL,2.02.016.001 - NAO USAR - PJ LETICIA OLIVEIRA,81651
401,2.02.016 - PJ OPERACIONAL,2.02.016.002 - PJ JOAO VICTOR BEZERRA,81651
401,2.02.017 - PJ DIROP,2.02.017.001 - PJ EGIDIO,81651
401,2.02.018 - PJ ADMINISTRATIVO,2.02.018.003 - PJ AMANDA FREIRES,81652
401,2.02.018 - PJ ADMINISTRATIVO,2.02.018.002 - PJ THAINA ALVES,81652
401,2.02.018 - PJ ADMINISTRATIVO,2.02.018.004 - PJ THIAGO JONATHAS,81652
401,2.02.018 - PJ ADMINISTRATIVO,2.02.018.005 - PJ LETICIA OLIVEIRA (ADM),81652
401,2.04.003 - PLUGINS PARA INTEGRACAO,2.04.003.004 - BANCO DE IMAGENS,81657
401,2.04.003 - PLUGINS PARA INTEGRACAO,2.04.003.009 - IUPAY,81657
401,2.04.003 - PLUGINS PARA INTEGRACAO,2.04.003.001 - MIGRATE,81657
401,2.04.003 - PLUGINS PARA INTEGRACAO,2.04.003.003 - PLUGINS DIVERSOS,81657
401,2.04.003 - PLUGINS PARA INTEGRACAO,2.04.003.002 - SENDGRID,81657
401,2.04.003 - PLUGINS PARA INTEGRACAO,2.04.003.007 - TWILLIO,81657
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.011 - AGENCIA AMMORA,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.015 - AGENCIA VIZI BUSINESS,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.019 - BLUE OCEAN AGENCIA DE MARKETING DIGITAL,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.018 - FORNECEDOR EVALDO JOSE DA COSTA JUNIOR,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.014 - FORNECEDOR FABRISIO DE SANTANA,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.002 - GOOGLE ADS,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.001 - META ADS,81659
401,2.05.002 - PUBLICIDADE E PROPAGANDA DIGITAL,2.05.002.020 - THINKON DIGITAL,81659
401,2.05.003 - COMBUSTIVEL,2.05.003.999 - COMBUSTIVEL (GERAL),81660
401,2.05.008 - COMISSAO PJ,2.05.008.011 - COMISSAO PJ ALLAN FURTADO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.004 - COMISSAO PJ BRUNO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.006 - COMISSAO PJ EGIDIO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.007 - COMISSAO PJ HELIO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.012 - COMISSAO PJ HENRIQUE DIAS,81662
401,2.05.008 - COMISSAO PJ,2.05.008.017 - COMISSAO PJ LEONARDO CARVALHO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.009 - COMISSAO PJ MARCO AURELIO (COND),81662
401,2.05.008 - COMISSAO PJ,2.05.008.015 - COMISSAO PJ PAULO H. TRAJANO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.016 - COMISSAO PJ REUTER LINO,81662
401,2.05.008 - COMISSAO PJ,2.05.008.013 - COMISSAO PJ RIAN BERNAT,81662
401,2.05.008 - COMISSAO PJ,2.05.008.010 - COMISSAO PJ YAN MACIEL,81662
401,2.05.008 - COMISSAO PJ,2.05.008.018 - COMISSAO PJ GIULIANO MOTINHA,81662
401,2.05.008 - COMISSAO PJ,2.02.017.003 - COMISSAO EGIDIO,81662
401,2.06.014 - TREINAMENTOS PALESTRAS,2.06.014.001 - TREINAMENTO FACILITADORES,81666
401,2.06.014 - TREINAMENTOS PALESTRAS,2.06.014.002 - TREINAMENTO LIDERES,81666
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.025 - ADOBE,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.009 - AHGORA,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.023 - BELVO,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.022 - CHATGPT,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.034 - CUSTOMERX DESENVOLVIMENTO,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.027 - DROPBOX,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.031 - EXPO APPS,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.026 - FIGMA,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.024 - MOBILIZA TECNOLOGIA,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.006 - MOVIDESK,81706
